entity_id	sentence_id	page_no	mention	start_char	end_char	ent_type	confidence
e00001	s0034	2	警察	28	30	position	0.8560699820518494
e00002	s0045	2	派出所	43	47	government	0.8332836031913757
e00003	s0070	3	丁铅	24	26	name	0.9188963174819946
e00004	s0081	3	小芳	17	19	name	0.6655268669128418
e00008	s0088	3	执行官	0	3	position	0.9121497273445129
e00011	s0098	4	小美	17	19	name	0.5819281935691833
e00012	s0098	4	小芳	23	25	name	0.6180100440979004
e00013	s0147	5	交警	0	2	position	0.8210911750793457
e00017	s0167	5	小芳	12	14	name	0.8163852691650391
e00018	s0172	6	鲍如	0	2	name	0.6143115162849426
e00019	s0172	6	小芳	32	34	name	0.5203490257263184
e00021	s0178	6	医生	27	29	position	0.9749273657798767
e00022	s0216	7	医生	32	34	position	0.9815974235534668
e00028	s0226	7	本大阪南港	11	16	address	0.6970009207725525
e00029	s0238	8	司机	6	8	position	0.7273285984992981
e00030	s0297	9	医生	23	25	position	0.9413409233093262
e00031	s0333	10	狗剩	33	35	name	0.5293763875961304
